epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1940.57,1.07083,1.20387,1.28759,0.68292,0.64129,0.66158,0.52167,1.28299,1.44678,1.43771,0.0005941,0.0005941,0.0005941
43,1986.58,1.06997,1.18929,1.28302,0.69766,0.64025,0.66246,0.5136,1.3012,1.45679,1.44009,0.0005842,0.0005842,0.0005842
44,2032.87,1.06111,1.17873,1.28123,0.683,0.64693,0.6721,0.51886,1.31608,1.46788,1.46335,0.0005743,0.0005743,0.0005743
45,2079.44,1.05822,1.17601,1.28335,0.67353,0.66374,0.67178,0.52351,1.29225,1.4274,1.45018,0.0005644,0.0005644,0.0005644
46,2125.53,1.04085,1.15097,1.26835,0.64072,0.68157,0.67015,0.5265,1.28493,1.45064,1.44231,0.0005545,0.0005545,0.0005545
47,2171.91,1.04417,1.15669,1.2685,0.69183,0.66764,0.68507,0.53432,1.29901,1.4011,1.45619,0.0005446,0.0005446,0.0005446
48,2218.42,1.03475,1.12754,1.26828,0.7158,0.66286,0.6828,0.53259,1.27555,1.39204,1.42857,0.0005347,0.0005347,0.0005347
49,2264.38,1.03042,1.11805,1.25626,0.7078,0.66051,0.67278,0.52604,1.28909,1.45275,1.44761,0.0005248,0.0005248,0.0005248
50,2311.82,1.04088,1.1179,1.25967,0.71515,0.65736,0.68113,0.52765,1.28851,1.43596,1.44884,0.0005149,0.0005149,0.0005149
51,2359.54,1.01829,1.10147,1.24547,0.67914,0.67082,0.67974,0.53523,1.27955,1.41383,1.44483,0.000505,0.000505,0.000505
52,2405.8,1.02866,1.09836,1.25132,0.70595,0.67317,0.69336,0.54094,1.27334,1.37972,1.449,0.0004951,0.0004951,0.0004951
53,2452.3,1.02368,1.10309,1.25319,0.74929,0.64528,0.69371,0.53797,1.28417,1.37488,1.44737,0.0004852,0.0004852,0.0004852
54,2498.79,0.99886,1.06826,1.23584,0.70835,0.64712,0.68196,0.53106,1.2918,1.43113,1.46323,0.0004753,0.0004753,0.0004753
55,2545.05,0.99997,1.07515,1.24055,0.7233,0.65928,0.68743,0.54488,1.26078,1.40368,1.43089,0.0004654,0.0004654,0.0004654
56,2591.02,1.00514,1.06087,1.24189,0.70551,0.6551,0.6852,0.53937,1.28636,1.39506,1.45303,0.0004555,0.0004555,0.0004555
57,2637.54,0.99032,1.05087,1.22906,0.70676,0.67293,0.69001,0.54778,1.26057,1.35277,1.42037,0.0004456,0.0004456,0.0004456
58,2684.04,0.99515,1.04327,1.23578,0.70016,0.67477,0.6864,0.53857,1.27503,1.37518,1.44043,0.0004357,0.0004357,0.0004357
